gene,median_effect,mean_effect,min_effect,max_effect,q25_effect,q75_effect,frac_dep_lt_minus05,frac_dep_lt_minus03,n_cell_lines,is_strongly_essential,dep_prob_median,dep_prob_mean,frac_prob_gt_05,aml_mean_tpm_log1p,aml_median_tpm_log1p,rank_score,is_known_aml_target
LCMT1,-0.4127158522605896,-0.4233577251434326,-1.1255826950073242,0.39174070954322815,-0.5662087798118591,-0.2945065349340439,0.32558139534883723,0.7441860465116279,43,False,0.45561298727989197,0.4624879062175751,0.3953488372093023,4.5989603996276855,4.59035587310791,0.4571592675392018,False
SREBF1,-0.3783702552318573,-0.4731246531009674,-1.871867299079895,0.2247588336467743,-0.637560099363327,-0.20217017084360123,0.37209302325581395,0.627906976744186,43,False,0.2988607585430145,0.43374061584472656,0.37209302325581395,6.265326976776123,6.348010063171387,0.41844348027262585,False
ACACA,-0.3786769509315491,-0.28076234459877014,-1.078930377960205,1.6304421424865723,-0.5327802896499634,-0.0812288299202919,0.3023255813953488,0.5813953488372093,43,False,0.3976772725582123,0.367005318403244,0.3488372093023256,5.0434746742248535,5.127145767211914,0.39821525181448736,False
CERS2,-0.3632415533065796,-0.40512046217918396,-1.6860895156860352,-0.01767594739794731,-0.5172377824783325,-0.25046538561582565,0.27906976744186046,0.6744186046511628,43,False,0.3240349292755127,0.3993157744407654,0.3488372093023256,7.1154584884643555,7.112366676330566,0.3963047654129739,False
TRIP13,-0.347400039434433,-0.3780257999897003,-1.0883018970489502,0.03989093750715256,-0.48806343972682953,-0.2329225391149521,0.23255813953488372,0.6046511627906976,43,False,0.32202938199043274,0.378780722618103,0.32558139534883723,4.528058052062988,4.547287464141846,0.3618606283914212,False
PEX6,-0.34037795662879944,-0.3648258149623871,-1.0458967685699463,0.28648602962493896,-0.4851530194282532,-0.19991908967494965,0.2558139534883721,0.6046511627906976,43,False,0.27876755595207214,0.37601789832115173,0.3023255813953488,3.1935391426086426,3.112903118133545,0.3617023568513782,False
NOA1,-0.31270113587379456,-0.41892296075820923,-1.495283603668213,0.34047213196754456,-0.6929446160793304,-0.18234412372112274,0.3488372093023256,0.5348837209302325,43,False,0.2279672771692276,0.4253424406051636,0.3953488372093023,4.536945343017578,4.5262908935546875,0.3595050890431848,False
ARHGEF5,-0.3227173089981079,-0.3565022647380829,-0.899200439453125,0.03756076097488403,-0.5048917979001999,-0.20872057229280472,0.2558139534883721,0.6046511627906976,43,False,0.29552772641181946,0.35891973972320557,0.2558139534883721,0.468068927526474,0.05313356965780258,0.35631411484507625,False
MT1E,-0.35652339458465576,-0.38982635736465454,-1.059244990348816,-0.037038225680589676,-0.4369239807128906,-0.2733170688152313,0.1951219512195122,0.6097560975609756,41,False,0.29133132100105286,0.3808712959289551,0.1951219512195122,3.560868740081787,3.465367078781128,0.35223029481201634,False
UQCC1,-0.3255578875541687,-0.34954091906547546,-0.9230890870094299,0.41773542761802673,-0.48076462745666504,-0.2110755369067192,0.20930232558139536,0.5813953488372093,43,False,0.25338679552078247,0.35013169050216675,0.27906976744186046,5.305401802062988,5.208666801452637,0.3346316020156062,False
MALL,-0.32713186740875244,-0.32670554518699646,-0.5919924974441528,-0.09176614880561829,-0.4057299792766571,-0.2401169091463089,0.13953488372093023,0.627906976744186,43,False,0.29012101888656616,0.30013909935951233,0.11627906976744186,0.3202351927757263,0.17429229617118835,0.3273067093172739,False
NME2,-0.3194318115711212,-0.3219030201435089,-0.7150868773460388,0.020951686426997185,-0.4925023913383484,-0.19040990620851517,0.23255813953488372,0.5116279069767442,43,False,0.26533541083335876,0.3194597065448761,0.32558139534883723,9.787054061889648,9.78872299194336,0.32639928896759834,False
TLCD1,-0.36139342188835144,-0.33648955821990967,-0.5862960815429688,-0.07765039056539536,-0.41549554467201233,-0.2828495353460312,0.046511627906976744,0.6744186046511628,43,False,0.3207457363605499,0.312531441450119,0.13953488372093023,2.1967475414276123,2.171848773956299,0.3254691516937212,False
ALDOC,-0.3307340145111084,-0.3272387981414795,-0.6215702295303345,-0.002273083431646228,-0.38326629996299744,-0.2476133555173874,0.11627906976744186,0.5581395348837209,43,False,0.26412874460220337,0.2988821566104889,0.16279069767441862,4.119677543640137,4.203968048095703,0.3052181081716404,False
FOXK1,-0.272082656621933,-0.2731281518936157,-0.6951810717582703,0.14875611662864685,-0.4694835990667343,-0.08207861334085464,0.23255813953488372,0.4418604651162791,43,False,0.17803774774074554,0.29506930708885193,0.27906976744186046,3.093637466430664,3.1852922439575195,0.2847763723065687,False
SCG5,-0.2964014708995819,-0.31619346141815186,-0.6534864902496338,0.14597724378108978,-0.4283331334590912,-0.25421053171157837,0.11627906976744186,0.4883720930232558,43,False,0.25316593050956726,0.29489096999168396,0.16279069767441862,0.7832924127578735,0.6262118220329285,0.27643532094567325,False
C1ORF122,-0.3017676770687103,-0.3105722963809967,-0.541782557964325,-0.06049540638923645,-0.3903980404138565,-0.2375401183962822,0.06976744186046512,0.5116279069767442,43,False,0.23985108733177185,0.27307236194610596,0.11627906976744186,3.9352431297302246,3.902472734451294,0.26794799351414966,False
STEAP3,-0.2330111414194107,-0.32305851578712463,-1.100522756576538,0.3272661864757538,-0.4350174367427826,-0.15873485058546066,0.20930232558139536,0.4186046511627907,43,False,0.19290831685066223,0.3117256760597229,0.20930232558139536,3.2644264698028564,3.203066825866699,0.2590069161598073,False
NPB,-0.2850325107574463,-0.2939273416996002,-0.5832540392875671,0.22032852470874786,-0.4231456518173218,-0.21352046728134155,0.06976744186046512,0.46511627906976744,43,False,0.22599515318870544,0.2841933071613312,0.16279069767441862,1.519858717918396,1.525250792503357,0.2505660079939421,False
MXRA7,-0.2582364082336426,-0.2786242663860321,-0.6795470714569092,0.060954608023166656,-0.41392093896865845,-0.1385662481188774,0.11627906976744186,0.4186046511627907,43,False,0.17480354011058807,0.2609539031982422,0.16279069767441862,3.546098232269287,3.4072608947753906,0.23937956846730657,False
DNAAF5,-0.22049161791801453,-0.2666977643966675,-1.1335692405700684,0.16130852699279785,-0.4816376119852066,-0.06972533836960793,0.20930232558139536,0.37209302325581395,43,False,0.1297735869884491,0.28228703141212463,0.23255813953488372,3.9982941150665283,4.078481674194336,0.23838330819163214,False
MT1X,-0.2782590389251709,-0.27405834197998047,-0.688848614692688,-0.006193805951625109,-0.34332606196403503,-0.14455103874206543,0.07317073170731707,0.4146341463414634,41,False,0.2052290290594101,0.22934755682945251,0.07317073170731707,5.738680362701416,5.409523963928223,0.2367045672564972,False
CXADR,-0.27280229330062866,-0.2498360127210617,-0.46245890855789185,0.002237150678411126,-0.3540552780032158,-0.14457136392593384,0.0,0.5,8,False,0.1805221438407898,0.23476213216781616,0.125,0.5886789560317993,0.2022208869457245,0.22717313170433046,False
CXCL2,-0.2735867202281952,-0.2722250521183014,-0.5829377770423889,-0.04905607923865318,-0.3472246080636978,-0.18010680377483368,0.06976744186046512,0.3953488372093023,43,False,0.1767716407775879,0.23816390335559845,0.11627906976744186,1.522212028503418,1.0453331470489502,0.22711185216903687,False
CNTNAP1,-0.2708072066307068,-0.2824251055717468,-0.5528429746627808,-0.031498245894908905,-0.3512360155582428,-0.2145121842622757,0.046511627906976744,0.3488372093023256,43,False,0.21641066670417786,0.22769701480865479,0.046511627906976744,1.3654699325561523,1.1624324321746826,0.21368487955525864,False
CTXN1,-0.2607775330543518,-0.27540746331214905,-0.6271035075187683,0.0017356991302222013,-0.3576509356498718,-0.17694541811943054,0.06976744186046512,0.3488372093023256,43,False,0.16562320291996002,0.226563960313797,0.09302325581395349,1.7401306629180908,1.3412055969238281,0.2115710079323414,False
CPNE7,-0.23660866916179657,-0.24461297690868378,-0.605884850025177,0.02314474619925022,-0.36520329117774963,-0.1184985302388668,0.09302325581395349,0.3488372093023256,43,False,0.11122458428144455,0.22481399774551392,0.18604651162790697,2.5573182106018066,2.3038547039031982,0.20344034469751426,False
